Operation Name,Total Floor Area of the Indoor Space in which Operation is Conducted,,Average # Hours Per Week,Electricity,,Natural Gas,,GHG Emissions (Kg)
McCowan Carhouse,"23,605.23",Square feet,168,"932,104.08",kWh,"53,314.00",Cubic meter,"175,365.21"
Mt. Dennis Bus Garage,"258,185.60",Square feet,168,"4,442,473.00",kWh,"2,445,359.00",Cubic meter,"4,978,659.59"
Nashdene Yard,"24,175.72",Square feet,60,"297,688.45",kWh,"72,736.43",Cubic meter,"161,332.53"
North District Serv Yard,"32,044.13",Square feet,60,"288,144.15",kWh,"50,482.54",Cubic meter,"118,495.19"
Northline Garage and Offices,"46,521.00",Square feet,60,"707,712.37",kWh,"99,597.00",Cubic meter,"244,917.77"
Oriole Yd- Signs and Markings,"16,264.25",Square feet,60,"11,431.14",kWh,"53,146.75",Cubic meter,"101,395.16"
Oriole Yd- Works,"26,759.06",Square feet,60,"210,510.87",kWh,"49,313.73",Cubic meter,"110,074.74"
Pharmacy Yard,"1,851.39",Square feet,60,"72,692.92",kWh,"6,083.25",Cubic meter,"17,316.60"
Property Operation Workshop,"12,034.04",Square feet,60,"48,715.60",kWh,"51,449.89",Cubic meter,"101,169.80"
Queensway Bus Garage,"124,537.46",Square feet,168,"2,152,501.00",kWh,"1,027,308.00",Cubic meter,"2,114,456.32"
Ramsden Yard,"20,246.90",Square feet,60,"175,665.38",kWh,"122,337.47",Cubic meter,"245,347.75"
Rockcliffe Yard,"14,047.00",Square feet,60,"26,713.64",kWh,"39,541.62",Cubic meter,"76,895.55"
Roncesvalles Carhouse,"41,386.98",Square feet,168,"2,004,501.60",kWh,"326,410.00",Cubic meter,"777,479.69"
Russell Carhouse,"48,733.88",Square feet,168,"1,140,637.50",kWh,"284,395.00",Cubic meter,"628,935.87"
Sixth St Garage,"6,996.54",Square feet,60,"10,936.50",kWh,"9,372.65",Cubic meter,"18,595.10"
Western Services Yard,"4,133.34",Square feet,60,"23,079.00",kWh,"13,564.00",Cubic meter,"27,490.78"
Wilson Complex,"414,990.11",Square feet,168,"2,578,966.46",kWh,"1,817,447.00",Cubic meter,"3,642,431.69"
